environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
baseline,evolution,energy_at_death,behaviour,100,4.004397509120995,0.35754776854900044,3.3151564921355163,5.1418653545739765,3.7688389738231014,3.98235717975596,4.186594499995886,,,
baseline,evolution,frac_death_drained,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,evolution,frac_death_starved,behaviour,100,0.93877327712897,0.002878905368081214,0.9317831249736863,0.9458438666344446,0.9369299356169161,0.9385703083313852,0.9409228265499647,,,
baseline,learning,avg_fitness,gen,100,7.487399740000001,0.06659744187743691,7.288786,7.635587999999999,7.441839,7.497035,7.5305795,0.8424034999817583,0.8435752593367304,0.0080990212549632
baseline,learning,top20percent_fitness,gen,100,20.91203802,0.2054637135790565,20.345907999999998,21.332034,20.753484000000007,20.900542,21.0590865,0.8251310959997558,0.8246296579008205,0.008962000234625886
baseline,learning,best_fitness,gen,100,60.812478,1.4535205706174514,57.497600000000006,64.1962,59.77865,60.8079,61.914500000000004,0.47562222406639004,0.4755842323651452,0.012062411374418684
baseline,learning,avg_learned_weight_diff,gen,100,0.0009405430000000001,2.3105099069908862e-05,0.0008806399999999999,0.00099224,0.0009225699999999999,0.00094336,0.0009558300000000001,,,
baseline,learning,avg_network_weight_mag,gen,100,0.6097899800000001,0.002361941599787788,0.603926,0.615756,0.6079760000000001,0.609993,0.6113895,,,
baseline,learning,genome_variance,gen,100,0.04879649540000001,0.001402971603418554,0.0458683,0.05291638,0.04783138,0.048746689999999995,0.049861804999999995,,,
baseline,learning,total_agents,gen,100,1383.4602000000002,18.244860573140418,1332.82,1413.7,1372.01,1386.17,1396.825,,,
baseline,learning,peak_population,gen,100,593.3290000000001,10.299052569939814,567.86,616.06,586.745,594.5699999999999,599.305,,,
baseline,learning,avg_lifetime,gen,100,2069.3934400000003,13.328485800864184,2042.112,2112.396,2060.053,2066.9750000000004,2076.4865,,,
baseline,learning,cells_visited,behaviour,100,910.4376083066968,17.298501979745044,874.9260740113194,957.4074982132737,896.2797764614548,911.1457969631906,921.8942272642862,,,
baseline,learning,predator_touches,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,learning,drained_ticks,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,learning,cave_entries,behaviour,100,1.6497910566661493,0.3591732861721225,0.8014517402879241,2.9297083277625444,1.4474220161410924,1.5766059734867022,1.7945680001274995,,,
baseline,learning,cave_entries_night,behaviour,100,0.8485145657215786,0.18543430492279292,0.40923686318733776,1.522759110147953,0.749632460484107,0.8081746700156125,0.9240568326002243,,,
baseline,learning,food_prestige,behaviour,100,1.700564081547227,0.02958601268634524,1.6291902708585795,1.7719120876131123,1.6787185293573064,1.699952192237063,1.7206615751194014,,,
baseline,learning,food_low,behaviour,100,2.890470029400906,0.10285483429333644,2.588397489732552,3.0606933074072025,2.7955992586359617,2.926378334412499,2.9619995824231053,,,
baseline,learning,energy_at_death,behaviour,100,4.144596691512976,0.3679452613614623,3.304499021752985,4.970206848533931,3.888310696543805,4.168133560352823,4.394429746827404,,,
baseline,learning,frac_death_drained,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,learning,frac_death_starved,behaviour,100,0.9381302772889012,0.0029511964860760805,0.9325219391171083,0.9443679902480641,0.9358590629798358,0.9374575670952261,0.9408220537479154,,,
baseline,pure_rl,avg_fitness,gen,100,7.100092820000001,0.11499110154842776,6.765604,7.3635660000000005,7.016400000000001,7.098336,7.1719585,0.7953024869571562,0.7950888372715221,0.013984251486510568
baseline,pure_rl,top20percent_fitness,gen,100,19.89113566,0.4067811017105549,18.813546000000002,20.925916,19.627487000000002,19.960552,20.162293499999997,0.7806009596049917,0.783628789894487,0.017743144351222186
baseline,pure_rl,best_fitness,gen,100,57.431958,2.360488067370386,50.8956,62.264399999999995,55.77029999999999,57.5188,59.152649999999994,0.44756811618257264,0.4482887966804979,0.01958911259228536
baseline,pure_rl,avg_learned_weight_diff,gen,100,0.0009823374,3.551629606393394e-05,0.00088756,0.00105576,0.0009591699999999999,0.00098317,0.001002985,,,
baseline,pure_rl,avg_network_weight_mag,gen,100,0.6086068399999999,0.0017575545494645092,0.605364,0.61332,0.6072185,0.608379,0.609743,,,
baseline,pure_rl,genome_variance,gen,100,0.064644299,0.0373018326857368,0.01853358,0.17712659999999997,0.036265775,0.05559312999999999,0.07807577,,,
baseline,pure_rl,total_agents,gen,100,1150.7456000000002,41.854831957878204,1018.1,1251.24,1120.625,1151.6399999999999,1175.615,,,
