condition,metric,label,baseline_hidden,hidden_size,mean_baseline,mean_arm,std_baseline,std_arm,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_arm,final_frac
learning,avg_fitness,Mean average fitness,64,128,6.947754466666668,7.170109266666667,0.9137103686304078,0.04342471128434702,0.22235479999999885,3.2003836788820528,0.48073111045562256,-0.15555555555555556,15,15,0.2
learning,top20percent_fitness,Top-20% fitness,64,128,19.54421873333333,19.965554999999995,1.8904048938774192,0.1419572403367766,0.421336266666664,2.155810229180769,0.3614963660708982,-0.2,15,15,0.2
learning,peak_population,Peak population,64,128,467.8419999999999,486.5396666666667,75.49381492987797,8.643719389758605,18.69766666666675,3.996577192014986,0.9338864180775845,-0.022222222222222223,15,15,0.2
learning,total_agents,Total agents,64,128,1254.7086666666667,1327.984,283.0314405177551,15.102958672613346,73.27533333333326,5.840027671762311,1.0,0.0044444444444444444,15,15,0.2
learning,avg_lifetime,Mean lifetime (ticks),64,128,1641.2320333333332,1687.5903333333333,203.68172765227504,26.749994089511254,46.3583000000001,2.8246036549656326,0.5897385933186072,-0.12,15,15,0.2
learning,lifetime_p90,p90 lifetime (ticks),64,128,2136.4811666666665,2170.4609333333333,177.58315571065737,45.89947799008412,33.97976666666682,1.590454771931455,0.9009714934164412,-0.03111111111111111,15,15,0.2
learning,survived_frac,Survived to window close,64,128,0.02803915383750969,0.029094472731509818,0.007845907715039681,0.002745579496290177,0.001055318894000127,3.763733028877506,0.43064798984807773,-0.17333333333333334,15,15,0.2
learning,avg_learned_weight_diff,Learned weight diff (MAD),64,128,0.008652290333333335,0.006585740333333334,0.0004765263957063545,0.00025992251831694416,-0.002066550000000001,-23.88442736414571,3.3918213908250945e-06,-1.0,15,15,0.2
learning,genome_variance,Genomic variance,64,128,0.045264232333333335,0.046076427,0.005154105518959899,0.0010097780718352582,0.0008121946666666685,1.7943409725487707,0.48073111045562256,-0.15555555555555556,15,15,0.2
learning,cells_visited,Cells explored / organism,64,128,824.780458214152,834.7724752230527,113.38130689368602,9.689472180607165,9.992017008900689,1.2114759642263844,0.018066622998912377,-0.5111111111111111,15,15,0.2
