condition,hidden_size,unit,metric,value
evolution,64,seed1_r3,cells_visited,836.3597524273231
evolution,64,seed1_r3,cave_entries,1.03255474948575
evolution,64,seed1_r3,food_total,7.544520180350311
evolution,64,seed1_r4,avg_fitness,7.257846
evolution,64,seed1_r4,top20percent_fitness,20.539304
evolution,64,seed1_r4,peak_population,493.59
evolution,64,seed1_r4,total_agents,1327.675
evolution,64,seed1_r4,avg_lifetime,1707.0995
evolution,64,seed1_r4,lifetime_p90,2253.737
evolution,64,seed1_r4,survived_frac,0.027094701063097824
evolution,64,seed1_r4,avg_learned_weight_diff,0.0
evolution,64,seed1_r4,genome_variance,0.04697674500000001
evolution,64,seed1_r4,cells_visited,832.820001214171
evolution,64,seed1_r4,cave_entries,1.9386476188364796
evolution,64,seed1_r4,food_total,7.535602444773806
evolution,64,seed1_r5,avg_fitness,3.8271939999999995
evolution,64,seed1_r5,top20percent_fitness,14.294762500000001
evolution,64,seed1_r5,peak_population,210.675
evolution,64,seed1_r5,total_agents,223.035
evolution,64,seed1_r5,avg_lifetime,856.7175
evolution,64,seed1_r5,lifetime_p90,1406.6755000000003
evolution,64,seed1_r5,survived_frac,0.0
evolution,64,seed1_r5,avg_learned_weight_diff,0.0
evolution,64,seed1_r5,genome_variance,0.02726693
evolution,64,seed1_r5,cells_visited,435.9697338762398
evolution,64,seed1_r5,cave_entries,0.20698477860449543
evolution,64,seed1_r5,food_total,4.826683595244135
evolution,64,seed42_r1,avg_fitness,3.8486825
evolution,64,seed42_r1,top20percent_fitness,12.186882
evolution,64,seed42_r1,peak_population,203.815
evolution,64,seed42_r1,total_agents,218.54
evolution,64,seed42_r1,avg_lifetime,1173.8675
evolution,64,seed42_r1,lifetime_p90,2028.433
evolution,64,seed42_r1,survived_frac,0.0
evolution,64,seed42_r1,avg_learned_weight_diff,0.0
evolution,64,seed42_r1,genome_variance,0.02751909
evolution,64,seed42_r1,cells_visited,438.95003104473346
evolution,64,seed42_r1,cave_entries,0.1294770391969098
evolution,64,seed42_r1,food_total,5.153836719321699
evolution,64,seed42_r2,avg_fitness,6.785539
evolution,64,seed42_r2,top20percent_fitness,19.036050499999998
evolution,64,seed42_r2,peak_population,392.205
evolution,64,seed42_r2,total_agents,1057.365
evolution,64,seed42_r2,avg_lifetime,1533.344
evolution,64,seed42_r2,lifetime_p90,2080.4915
evolution,64,seed42_r2,survived_frac,0.013560374177484135
evolution,64,seed42_r2,avg_learned_weight_diff,0.0
evolution,64,seed42_r2,genome_variance,0.037007675
evolution,64,seed42_r2,cells_visited,782.8655068089633
evolution,64,seed42_r2,cave_entries,0.8603152040544465
evolution,64,seed42_r2,food_total,7.172439001046895
evolution,64,seed42_r3,avg_fitness,6.27448
evolution,64,seed42_r3,top20percent_fitness,17.345214000000002
evolution,64,seed42_r3,peak_population,336.375
evolution,64,seed42_r3,total_agents,861.93
evolution,64,seed42_r3,avg_lifetime,1498.7389999999996
evolution,64,seed42_r3,lifetime_p90,2081.159
evolution,64,seed42_r3,survived_frac,0.007923211336947405
evolution,64,seed42_r3,avg_learned_weight_diff,0.0
evolution,64,seed42_r3,genome_variance,0.034125655
evolution,64,seed42_r3,cells_visited,727.1019080854267
evolution,64,seed42_r3,cave_entries,1.726493623539952
evolution,64,seed42_r3,food_total,7.101055845355246
evolution,64,seed42_r4,avg_fitness,3.7523135
evolution,64,seed42_r4,top20percent_fitness,13.613133499999998
evolution,64,seed42_r4,peak_population,205.45
evolution,64,seed42_r4,total_agents,215.615
evolution,64,seed42_r4,avg_lifetime,853.305
evolution,64,seed42_r4,lifetime_p90,1406.1640000000002
evolution,64,seed42_r4,survived_frac,0.0
evolution,64,seed42_r4,avg_learned_weight_diff,0.0
evolution,64,seed42_r4,genome_variance,0.027288815
evolution,64,seed42_r4,cells_visited,433.76504566352526
evolution,64,seed42_r4,cave_entries,0.11550703871383197
evolution,64,seed42_r4,food_total,4.886472308009333
evolution,64,seed42_r5,avg_fitness,6.854453000000001
evolution,64,seed42_r5,top20percent_fitness,19.570282000000002
evolution,64,seed42_r5,peak_population,391.455
evolution,64,seed42_r5,total_agents,1110.87
evolution,64,seed42_r5,avg_lifetime,1550.0434999999998
evolution,64,seed42_r5,lifetime_p90,2124.9109999999996
evolution,64,seed42_r5,survived_frac,0.01694333649971152
evolution,64,seed42_r5,avg_learned_weight_diff,0.0
evolution,64,seed42_r5,genome_variance,0.038113669999999995
evolution,64,seed42_r5,cells_visited,832.2659374307815
evolution,64,seed42_r5,cave_entries,2.156900381877377
evolution,64,seed42_r5,food_total,7.18941418170723
evolution,64,seed999_r1,avg_fitness,3.7737455000000004
evolution,64,seed999_r1,top20percent_fitness,11.950179
evolution,64,seed999_r1,peak_population,197.39
evolution,64,seed999_r1,total_agents,209.655
evolution,64,seed999_r1,avg_lifetime,1231.5025
evolution,64,seed999_r1,lifetime_p90,2038.485
evolution,64,seed999_r1,survived_frac,0.0
evolution,64,seed999_r1,avg_learned_weight_diff,0.0
evolution,64,seed999_r1,genome_variance,0.028190475
evolution,64,seed999_r1,cells_visited,442.29397333326136
evolution,64,seed999_r1,cave_entries,0.15254698088355856
evolution,64,seed999_r1,food_total,5.06608556133042
evolution,64,seed999_r2,avg_fitness,3.653335
evolution,64,seed999_r2,top20percent_fitness,13.449812
evolution,64,seed999_r2,peak_population,199.895
evolution,64,seed999_r2,total_agents,210.78
evolution,64,seed999_r2,avg_lifetime,863.7025
evolution,64,seed999_r2,lifetime_p90,1421.8845000000001
evolution,64,seed999_r2,survived_frac,0.0
evolution,64,seed999_r2,avg_learned_weight_diff,0.0
evolution,64,seed999_r2,genome_variance,0.026491280000000002
evolution,64,seed999_r2,cells_visited,422.2958940882841
evolution,64,seed999_r2,cave_entries,0.19865630784054147
evolution,64,seed999_r2,food_total,4.8316147734243025
evolution,64,seed999_r3,avg_fitness,7.0230385
evolution,64,seed999_r3,top20percent_fitness,19.638894500000003
evolution,64,seed999_r3,peak_population,470.475
evolution,64,seed999_r3,total_agents,1291.275
evolution,64,seed999_r3,avg_lifetime,1621.3410000000001
evolution,64,seed999_r3,lifetime_p90,2125.655
evolution,64,seed999_r3,survived_frac,0.020246770428786018
evolution,64,seed999_r3,avg_learned_weight_diff,0.0
evolution,64,seed999_r3,genome_variance,0.04513009499999999
evolution,64,seed999_r3,cells_visited,848.8745801734543
evolution,64,seed999_r3,cave_entries,1.4297762673086936
evolution,64,seed999_r3,food_total,7.3939437090268685
evolution,64,seed999_r4,avg_fitness,3.685427
evolution,64,seed999_r4,top20percent_fitness,13.3063
evolution,64,seed999_r4,peak_population,197.215
evolution,64,seed999_r4,total_agents,210.615
evolution,64,seed999_r4,avg_lifetime,799.2485
evolution,64,seed999_r4,lifetime_p90,1324.2840000000003
evolution,64,seed999_r4,survived_frac,0.0
evolution,64,seed999_r4,avg_learned_weight_diff,0.0
