panel,fraction,seed,rep,run,n_gens,avg_fitness
0.05,0.5,42,6,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r6,1000,7.08853
0.05,0.5,42,7,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r7,1000,3.634284
0.05,0.5,42,8,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r8,1000,3.6736159999999995
0.05,0.5,42,9,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r9,1000,6.498290000000001
0.05,0.5,42,10,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r10,1000,3.6026979999999997
0.05,0.5,999,1,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r1,1000,6.151808
0.05,0.5,999,2,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r2,1000,3.493102
0.05,0.5,999,3,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r3,1000,3.7890419999999994
0.05,0.5,999,4,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r4,1000,3.5235360000000004
0.05,0.5,999,5,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r5,1000,6.670228
0.05,0.5,999,6,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r6,1000,7.086412
0.05,0.5,999,7,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r7,1000,3.4566839999999996
0.05,0.5,999,8,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r8,1000,7.149756
0.05,0.5,999,9,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r9,1000,3.672644
0.05,0.5,999,10,roam60d5_10r_evo_cull0.5_rec0.05_seed999_r10,1000,3.614778
0.05,0.6,1,1,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r1,1000,6.283208000000001
0.05,0.6,1,2,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r2,1000,7.1643
0.05,0.6,1,3,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r3,1000,3.4533620000000003
0.05,0.6,1,4,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r4,1000,7.075695999999999
0.05,0.6,1,5,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r5,1000,3.781734
0.05,0.6,1,6,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r6,1000,3.5137999999999994
0.05,0.6,1,7,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r7,1000,7.240400000000001
0.05,0.6,1,8,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r8,1000,3.878362
0.05,0.6,1,9,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r9,1000,5.435382000000001
0.05,0.6,1,10,roam60d5_10r_evo_cull0.6_rec0.05_seed1_r10,1000,7.05517
0.05,0.6,42,1,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r1,1000,3.693878
0.05,0.6,42,2,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r2,1000,3.7550760000000007
0.05,0.6,42,3,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r3,1000,5.5648219999999995
0.05,0.6,42,4,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r4,1000,7.1839580000000005
0.05,0.6,42,5,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r5,1000,7.145385999999999
0.05,0.6,42,6,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r6,1000,3.6010000000000004
0.05,0.6,42,7,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r7,1000,6.48402
