collapse_buffer,unit,metric,value
100,seed1_r3,peak_population,356.645
100,seed1_r3,avg_lifetime,1688.517
100,seed1_r3,avg_learned_weight_diff,0.00681384
100,seed1_r3,genome_variance,0.023772054999999997
100,seed1_r3,collapse,0.0
100,seed1_r3,respawned,73.52
100,seed1_r3,cells_visited,867.4884642651571
100,seed1_r3,cave_entries,1.8931233598133645
100,seed1_r3,night_share,0.5076592236778187
100,seed1_r3,food_total,7.26291723391339
100,seed1_r4,avg_fitness,6.353438
100,seed1_r4,top20percent_fitness,17.687033500000002
100,seed1_r4,peak_population,316.74
100,seed1_r4,avg_lifetime,1596.816
100,seed1_r4,avg_learned_weight_diff,0.007377294999999999
100,seed1_r4,genome_variance,0.0271931
100,seed1_r4,collapse,0.095
100,seed1_r4,respawned,84.945
100,seed1_r4,cells_visited,824.245097189332
100,seed1_r4,cave_entries,0.7458823627583087
100,seed1_r4,night_share,0.5094163507163114
100,seed1_r4,food_total,6.908539684104954
100,seed1_r5,avg_fitness,6.628089999999999
100,seed1_r5,top20percent_fitness,18.8819235
100,seed1_r5,peak_population,332.635
100,seed1_r5,avg_lifetime,1616.3315000000002
100,seed1_r5,avg_learned_weight_diff,0.0075675000000000004
100,seed1_r5,genome_variance,0.016943979999999997
100,seed1_r5,collapse,0.1
100,seed1_r5,respawned,82.795
100,seed1_r5,cells_visited,848.1111439747418
100,seed1_r5,cave_entries,1.2440210687581734
100,seed1_r5,night_share,0.5063545903240595
100,seed1_r5,food_total,6.882231002894314
100,seed42_r1,avg_fitness,6.136442
100,seed42_r1,top20percent_fitness,17.072074
100,seed42_r1,peak_population,250.655
100,seed42_r1,avg_lifetime,1566.64
100,seed42_r1,avg_learned_weight_diff,0.0064805999999999996
100,seed42_r1,genome_variance,0.015658045
100,seed42_r1,collapse,0.17
100,seed42_r1,respawned,89.88
100,seed42_r1,cells_visited,759.7760767121156
100,seed42_r1,cave_entries,0.7163390459905961
100,seed42_r1,night_share,0.49602886591320605
100,seed42_r1,food_total,6.794924436627621
100,seed42_r2,avg_fitness,6.3797185
100,seed42_r2,top20percent_fitness,17.997851999999998
100,seed42_r2,peak_population,316.165
100,seed42_r2,avg_lifetime,1564.5185000000004
100,seed42_r2,avg_learned_weight_diff,0.00759749
100,seed42_r2,genome_variance,0.024265949999999998
100,seed42_r2,collapse,0.085
100,seed42_r2,respawned,85.255
100,seed42_r2,cells_visited,759.705793515782
100,seed42_r2,cave_entries,1.196645092695072
100,seed42_r2,night_share,0.50627488009443
100,seed42_r2,food_total,6.803488336599145
100,seed42_r3,avg_fitness,6.494806499999999
100,seed42_r3,top20percent_fitness,17.9844515
100,seed42_r3,peak_population,330.29
100,seed42_r3,avg_lifetime,1684.6765000000003
100,seed42_r3,avg_learned_weight_diff,0.007671425000000001
100,seed42_r3,genome_variance,0.022248160000000003
100,seed42_r3,collapse,0.015
100,seed42_r3,respawned,75.49
100,seed42_r3,cells_visited,792.6995047932895
100,seed42_r3,cave_entries,1.8211294990323719
100,seed42_r3,night_share,0.502382364290689
100,seed42_r3,food_total,7.116308599953431
100,seed42_r4,avg_fitness,6.353043500000001
