timestamp_ms,source,message,data
1252108,GA,Gen 63 | 576 agents | tournament k=2 → 100 offspring,
1252135,GA,Gen 65 started | 100 founders | RL=true,
1262851,GA,Gen 65 -> starting Map 2/5,
1266594,GA,Gen 65 -> starting Map 3/5,
1267910,GA,Gen 65 -> starting Map 4/5,
1268877,GA,Gen 65 -> starting Map 5/5,
1269315,GA,Gen 64 | 259 agents | tournament k=2 → 100 offspring,
1269343,GA,Gen 66 started | 100 founders | RL=true,
1277522,GA,Gen 66 -> starting Map 2/5,
1283288,GA,Gen 66 -> starting Map 3/5,
1285585,GA,Gen 66 -> starting Map 4/5,
1286560,GA,Gen 66 -> starting Map 5/5,
1287136,GA,Gen 65 | 276 agents | tournament k=2 → 100 offspring,
1287161,GA,Gen 67 started | 100 founders | RL=true,
1299040,GA,Gen 67 -> starting Map 2/5,
1309012,GA,Gen 67 -> starting Map 3/5,
1312024,GA,Gen 67 -> starting Map 4/5,
1313589,GA,Gen 67 -> starting Map 5/5,
1314638,GA,Gen 66 | 458 agents | tournament k=2 → 100 offspring,
1314663,GA,Gen 68 started | 100 founders | RL=true,
1325022,GA,Gen 68 -> starting Map 2/5,
1328549,GA,Gen 68 -> starting Map 3/5,
1329939,GA,Gen 68 -> starting Map 4/5,
1331324,GA,Gen 68 -> starting Map 5/5,
1332601,GA,Gen 67 | 270 agents | tournament k=2 → 100 offspring,
1332625,GA,Gen 69 started | 100 founders | RL=true,
1341568,GA,Gen 69 -> starting Map 2/5,
1348086,GA,Gen 69 -> starting Map 3/5,
1350874,GA,Gen 69 -> starting Map 4/5,
1352220,GA,Gen 69 -> starting Map 5/5,
1352716,GA,Gen 68 | 318 agents | tournament k=2 → 100 offspring,
1352740,GA,Gen 70 started | 100 founders | RL=true,
1364921,GA,Gen 70 -> starting Map 2/5,
1375506,GA,Gen 70 -> starting Map 3/5,
1382175,GA,Gen 70 -> starting Map 4/5,
1384869,GA,Gen 70 -> starting Map 5/5,
1492640,GA,Gen 74 | 289 agents | tournament k=2 → 100 offspring,
1492670,GA,Gen 76 started | 100 founders | RL=true,
1505641,GA,Gen 76 -> starting Map 2/5,
1518166,GA,Gen 76 -> starting Map 3/5,
1522722,GA,Gen 76 -> starting Map 4/5,
1524552,GA,Gen 76 -> starting Map 5/5,
1525396,GA,Gen 75 | 563 agents | tournament k=2 → 100 offspring,
1525424,GA,Gen 77 started | 100 founders | RL=true,
1536080,GA,Gen 77 -> starting Map 2/5,
1540611,GA,Gen 77 -> starting Map 3/5,
1542028,GA,Gen 77 -> starting Map 4/5,
1543404,GA,Gen 77 -> starting Map 5/5,
1544303,GA,Gen 76 | 299 agents | tournament k=2 → 100 offspring,
1544326,GA,Gen 78 started | 100 founders | RL=true,
1552535,GA,Gen 78 -> starting Map 2/5,
1556391,GA,Gen 78 -> starting Map 3/5,
1558794,GA,Gen 78 -> starting Map 4/5,
1560200,GA,Gen 78 -> starting Map 5/5,
1561528,GA,Gen 77 | 271 agents | tournament k=2 → 100 offspring,
1561553,GA,Gen 79 started | 100 founders | RL=true,
1576283,GA,Gen 79 -> starting Map 2/5,
1590581,GA,Gen 79 -> starting Map 3/5,
1598004,GA,Gen 79 -> starting Map 4/5,
1601003,GA,Gen 79 -> starting Map 5/5,
1602247,GA,Gen 78 | 716 agents | tournament k=2 → 100 offspring,
1602270,GA,Gen 80 started | 100 founders | RL=true,
1613767,GA,Gen 80 -> starting Map 2/5,
1618465,GA,Gen 80 -> starting Map 3/5,
1619953,GA,Gen 80 -> starting Map 4/5,
1621373,GA,Gen 80 -> starting Map 5/5,
