seed,rep,run,n_gens,avg_fitness,top20percent_fitness,best_fitness,total_agents,peak_population,genome_variance,avg_lifetime,avg_energy_end,avg_learned_weight_diff,avg_network_weight_mag,inter_gen_weight_change
2005,3,base_w500_evolution_h128_seed2005_r3,1000,7.494022,21.187428,61.1278,1381.06,579.34,0.046784120000000005,2043.8519999999999,3.8654599999999992,0.0,0.614868,-4.4460000000000005e-05
2005,4,base_w500_evolution_h128_seed2005_r4,1000,7.439868000000001,20.800563999999998,60.9366,1366.78,577.48,0.04844774,2045.5539999999999,3.48836,0.0,0.6095579999999999,-3.48e-06
2005,5,base_w500_evolution_h128_seed2005_r5,1000,7.420861999999999,20.657674,61.961000000000006,1383.74,588.14,0.0483605,2069.3819999999996,4.248139999999999,0.0,0.612004,1.698e-05
2005,6,base_w500_evolution_h128_seed2005_r6,1000,7.4765060000000005,20.68721,60.1392,1374.08,576.46,0.047064060000000005,2065.0360000000005,4.105339999999999,0.0,0.6106739999999999,-1.5680000000000002e-05
2005,7,base_w500_evolution_h128_seed2005_r7,1000,7.450724,20.606546,59.8768,1355.16,564.62,0.047531659999999996,2041.816,3.5083400000000005,0.0,0.613826,-3.3799999999999995e-05
2005,8,base_w500_evolution_h128_seed2005_r8,1000,7.461215999999999,20.682946,60.111599999999996,1379.52,579.86,0.04806915999999999,2046.3940000000002,3.6415799999999994,0.0,0.6083999999999999,-2.52e-06
2005,9,base_w500_evolution_h128_seed2005_r9,1000,7.4494419999999995,20.80359,61.72839999999999,1379.68,584.66,0.048017260000000006,2067.272,4.106859999999999,0.0,0.60521,-5.46e-05
2005,10,base_w500_evolution_h128_seed2005_r10,1000,7.447267999999999,20.812721999999997,61.0084,1373.8,582.64,0.04790344,2044.23,3.54122,0.0,0.606158,-1.3020000000000004e-05
2006,1,base_w500_evolution_h128_seed2006_r1,1000,7.521358,20.942911999999996,60.9066,1387.26,587.28,0.04978252,2056.06,4.162780000000001,0.0,0.610852,-5.834000000000001e-05
2006,2,base_w500_evolution_h128_seed2006_r2,1000,7.4994119999999995,20.897706,60.719199999999994,1390.92,595.4,0.04838378000000001,2092.9919999999997,4.56314,0.0,0.6076879999999999,3.488000000000002e-05
2006,3,base_w500_evolution_h128_seed2006_r3,1000,7.513238,20.758470000000003,61.9118,1395.34,590.3,0.047988340000000004,2062.042,4.100420000000001,0.0,0.60719,-1.0239999999999995e-05
2006,4,base_w500_evolution_h128_seed2006_r4,1000,7.4744459999999995,20.87687,61.958,1395.42,600.6,0.04658085999999999,2054.9680000000003,3.8611,0.0,0.613918,4.3e-05
2006,5,base_w500_evolution_h128_seed2006_r5,1000,7.569342000000001,21.035771999999998,61.2714,1382.26,590.76,0.049291879999999996,2064.78,4.273639999999999,0.0,0.6077819999999999,4.880000000000004e-06
2006,6,base_w500_evolution_h128_seed2006_r6,1000,7.553266000000001,21.033752,60.71900000000001,1385.52,591.54,0.04776675999999999,2059.1040000000003,3.9813200000000006,0.0,0.609636,-1.8000000000000058e-07
2006,7,base_w500_evolution_h128_seed2006_r7,1000,7.463696,20.823282,62.102000000000004,1395.34,594.58,0.04981202,2054.0319999999997,4.00608,0.0,0.6068939999999999,3.668e-05
2006,8,base_w500_evolution_h128_seed2006_r8,1000,7.551322000000002,20.915712000000003,60.92000000000001,1382.38,584.96,0.04904058000000001,2036.0839999999996,3.6182200000000004,0.0,0.6082599999999999,3.6519999999999996e-05
2006,9,base_w500_evolution_h128_seed2006_r9,1000,7.492054,20.734408,62.477,1398.14,594.56,0.047239699999999996,2067.528,4.350079999999999,0.0,0.6097839999999999,2.2960000000000004e-05
2006,10,base_w500_evolution_h128_seed2006_r10,1000,7.4678819999999995,20.860857999999997,62.42679999999999,1382.62,599.76,0.050183979999999996,2087.036,4.86218,0.0,0.6096340000000001,1.1199999999999973e-06
2007,1,base_w500_evolution_h128_seed2007_r1,1000,7.44015,20.782778000000004,59.1796,1397.14,604.2,0.04923933999999999,2064.846,3.9339,0.0,0.6091380000000001,-1.174e-05
2007,2,base_w500_evolution_h128_seed2007_r2,1000,7.5288200000000005,21.172314,62.988600000000005,1388.64,594.7,0.04987438000000001,2079.924,4.08296,0.0,0.611024,-6.984e-05
2007,3,base_w500_evolution_h128_seed2007_r3,1000,7.372538,20.763136,60.7488,1405.26,604.04,0.04780634000000001,2053.058,3.82688,0.0,0.6127819999999999,-2.1720000000000002e-05
2007,4,base_w500_evolution_h128_seed2007_r4,1000,7.462949999999999,20.878748,61.30000000000001,1394.54,599.32,0.04823662000000001,2071.994,3.946120000000001,0.0,0.6065600000000001,4.234e-05
2007,5,base_w500_evolution_h128_seed2007_r5,1000,7.546111999999999,21.01026,62.1276,1384.74,588.44,0.048220139999999995,2066.844,4.37286,0.0,0.6092920000000001,-1.494e-05
