id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p3_5_r4_off,0,4,2000,7.154400,6.144779,100,1999.90,3.1900,0.0000,0.0000,99,1,0,0
p3_6_r4_off,0,4,2000,7.373700,6.814619,100,1999.70,3.5300,0.0000,0.0000,99,1,0,0
p3_7_r4_off,0,4,2000,7.454700,6.226045,100,1999.70,1.4600,0.0000,0.0000,99,1,0,0
p3_8_r4_off,0,4,2000,7.429800,5.889621,100,2000.00,2.0700,0.0000,0.0000,99,1,0,0
p3_9_r4_off,0,4,2000,7.549500,6.866242,100,1998.00,2.7000,0.0000,0.0000,97,3,0,0
p3_10_r4_off,0,4,2000,7.745100,6.460062,100,1999.80,2.9900,0.0000,0.0000,99,1,0,0
p3_11_r4_off,0,4,2000,7.904800,7.096846,100,2000.00,2.8100,0.0000,0.0000,100,0,0,0
p3_12_r4_off,0,4,2000,7.625200,6.368872,100,1999.70,4.0000,0.0000,0.0000,99,1,0,0
p3_13_r4_off,0,4,2000,7.964500,5.937826,100,1998.20,3.6600,0.0000,0.0000,96,4,0,0
p3_14_r4_off,0,4,2000,8.019400,6.724541,100,1999.70,3.6300,0.0000,0.0000,99,1,0,0
p3_15_r4_off,0,4,2000,7.799900,6.131576,100,2000.00,3.8200,0.0000,0.0000,100,0,0,0
p3_16_r4_off,0,4,2000,7.925400,5.907838,100,2000.00,3.5400,0.0000,0.0000,98,2,0,0
p3_17_r4_off,0,4,2000,8.060300,5.644967,100,1999.70,3.2800,0.0000,0.0000,99,1,0,0
p3_18_r4_off,0,4,2000,8.175600,6.508300,100,2000.00,3.4700,0.0000,0.0000,100,0,0,0
p3_19_r4_off,0,4,2000,8.259900,6.395320,100,1999.80,3.3200,0.0000,0.0000,99,1,0,0
p3_20_r4_off,0,4,2000,8.155000,5.874547,100,1999.90,3.8100,0.0000,0.0000,98,2,0,0
p3_21_r4_off,0,4,2000,7.195400,5.802257,100,1998.30,4.4400,0.0000,0.0000,96,4,0,0
p3_22_r4_off,0,4,2000,7.245500,6.274661,100,1999.60,4.7500,0.0000,0.0000,98,2,0,0
p3_23_r4_off,0,4,2000,7.190300,6.104073,100,1999.80,5.3200,0.0000,0.0000,98,2,0,0
p3_24_r4_off,0,4,2000,6.435100,5.566853,100,2000.00,5.2100,0.0000,0.0000,99,1,0,0
p4_0_r4_off,0,4,2000,6.199600,5.194227,100,2000.00,1.4200,0.0000,0.0000,100,0,0,0
p4_1_r4_off,0,4,2000,6.984300,6.854320,100,1999.90,2.2900,0.0000,0.0000,99,1,0,0
p4_2_r4_off,0,4,2000,7.014600,7.067238,100,1999.40,2.5000,0.0000,0.0000,99,1,0,0
p4_3_r4_off,0,4,2000,7.554800,6.293434,100,1999.90,2.6100,0.0000,0.0000,99,1,0,0
p4_4_r4_off,0,4,2000,7.374400,6.626627,100,1999.40,2.2500,0.0000,0.0000,97,3,0,0
p4_5_r4_off,0,4,2000,7.179600,7.053212,100,2000.00,2.2800,0.0000,0.0000,100,0,0,0
p4_6_r4_off,0,4,2000,7.434600,7.026492,100,2000.00,4.0400,0.0000,0.0000,100,0,0,0
p4_7_r4_off,0,4,2000,7.555000,7.061605,100,2000.00,2.8300,0.0000,0.0000,100,0,0,0
p4_8_r4_off,0,4,2000,7.580100,6.918122,100,1999.50,2.4500,0.0000,0.0000,98,2,0,0
p4_9_r4_off,0,4,2000,7.625000,6.929219,100,2000.00,2.6300,0.0000,0.0000,100,0,0,0
p4_10_r4_off,0,4,2000,7.886300,6.894757,100,2000.00,3.7200,0.0000,0.0000,98,2,0,0
p4_11_r4_off,0,4,2000,7.385100,6.106576,100,1998.40,3.6500,0.0000,0.0000,96,4,0,0
p4_12_r4_off,0,4,2000,7.750800,5.909086,100,1999.70,3.9700,0.0000,0.0000,99,1,0,0
p4_13_r4_off,0,4,2000,8.090400,5.976986,100,1999.90,3.9500,0.0000,0.0000,98,2,0,0
p4_14_r4_off,0,4,2000,8.220800,6.128558,100,1998.70,3.0700,0.0000,0.0000,96,4,0,0
p4_15_r4_off,0,4,2000,8.179500,6.405147,100,2000.00,3.9600,0.0000,0.0000,100,0,0,0
p4_16_r4_off,0,4,2000,7.829900,5.967566,100,1999.80,4.4800,0.0000,0.0000,99,1,0,0
p4_17_r4_off,0,4,2000,7.856100,7.002516,100,1999.70,3.8400,0.0000,0.0000,97,3,0,0
p4_18_r4_off,0,4,2000,7.764800,6.563280,100,1995.90,4.1200,0.0000,0.0000,96,4,0,0
p4_19_r4_off,0,4,2000,7.545600,5.794942,100,1999.60,4.9300,0.0000,0.0000,99,1,0,0
p4_20_r4_off,0,4,2000,7.145600,5.239178,100,1999.90,5.4600,0.0000,0.0000,99,1,0,0
p4_21_r4_off,0,4,2000,6.700200,5.865796,100,1999.80,4.8300,0.0000,0.0000,99,1,0,0
p4_22_r4_off,0,4,2000,6.249900,5.763655,100,2000.00,5.2400,0.0000,0.0000,100,0,0,0
p4_23_r4_off,0,4,2000,6.300200,5.929201,100,1999.60,5.6800,0.0000,0.0000,98,2,0,0
p4_24_r4_off,0,4,2000,6.155100,6.557411,100,1999.90,5.8700,0.0000,0.0000,99,1,0,0
p5_0_r4_off,0,4,2000,5.748900,4.958623,100,2000.00,1.7700,0.0000,0.0000,100,0,0,0
p5_1_r4_off,0,4,2000,6.050400,5.078003,100,1999.70,1.7500,0.0000,0.0000,97,3,0,0
p5_2_r4_off,0,4,2000,6.760000,6.585009,100,2000.00,2.0000,0.0000,0.0000,100,0,0,0
p5_3_r4_off,0,4,2000,6.664800,6.399279,100,2000.00,2.3500,0.0000,0.0000,100,0,0,0
p5_4_r4_off,0,4,2000,7.434600,6.686881,100,2000.00,2.1800,0.0000,0.0000,100,0,0,0
p5_5_r4_off,0,4,2000,7.350100,6.862221,100,2000.00,3.0100,0.0000,0.0000,100,0,0,0
p5_6_r4_off,0,4,2000,7.730400,6.713362,100,2000.00,2.5300,0.0000,0.0000,100,0,0,0
p5_7_r4_off,0,4,2000,7.401200,6.297951,100,1999.70,3.7100,0.0000,0.0000,99,1,0,0
p5_8_r4_off,0,4,2000,7.860900,6.413209,100,1999.50,2.9700,0.0000,0.0000,98,2,0,0
p5_9_r4_off,0,4,2000,7.675100,6.904570,100,2000.00,3.7600,0.0000,0.0000,100,0,0,0
p5_10_r4_off,0,4,2000,7.975100,7.169393,100,1999.40,3.7700,0.0000,0.0000,99,1,0,0
p5_11_r4_off,0,4,2000,7.845800,6.271054,100,1999.20,4.1300,0.0000,0.0000,98,2,0,0
p5_12_r4_off,0,4,2000,8.190600,6.996614,100,1999.60,4.6000,0.0000,0.0000,98,2,0,0
p5_13_r4_off,0,4,2000,8.060400,6.222848,100,1999.20,3.8700,0.0000,0.0000,97,3,0,0
p5_14_r4_off,0,4,2000,7.896200,6.203428,100,2000.00,4.4500,0.0000,0.0000,100,0,0,0
p5_15_r4_off,0,4,2000,7.921200,6.132023,100,2000.00,2.7300,0.0000,0.0000,100,0,0,0
p5_16_r4_off,0,4,2000,7.451200,6.218750,100,2000.00,4.3000,0.0000,0.0000,100,0,0,0
p5_17_r4_off,0,4,2000,7.671100,5.990405,100,1999.20,4.1200,0.0000,0.0000,96,4,0,0
p5_18_r4_off,0,4,2000,7.105200,5.315496,100,1997.90,4.6800,0.0000,0.0000,98,2,0,0
p5_19_r4_off,0,4,2000,7.170200,6.459014,100,2000.00,4.7900,0.0000,0.0000,100,0,0,0
p5_20_r4_off,0,4,2000,6.285900,6.175336,100,1999.10,5.2900,0.0000,0.0000,98,2,0,0
p5_21_r4_off,0,4,2000,6.249700,6.177125,100,1999.90,5.2000,0.0000,0.0000,99,1,0,0
p5_22_r4_off,0,4,2000,6.045600,6.086007,100,2000.00,5.6400,0.0000,0.0000,100,0,0,0
p5_23_r4_off,0,4,2000,6.210400,6.417926,100,1999.80,5.1800,0.0000,0.0000,98,2,0,0
p5_24_r4_off,0,4,2000,5.655000,5.689928,100,1999.60,5.8600,0.0000,0.0000,99,1,0,0
p6_0_r4_off,0,4,2000,6.055200,4.784840,100,2000.00,1.1800,0.0000,0.0000,99,1,0,0
p6_1_r4_off,0,4,2000,6.149400,4.496900,100,2000.00,0.9200,0.0000,0.0000,100,0,0,0
p6_2_r4_off,0,4,2000,6.184600,4.991492,100,2000.00,1.4500,0.0000,0.0000,99,1,0,0
p6_3_r4_off,0,4,2000,6.545400,5.093223,100,1999.10,2.5900,0.0000,0.0000,98,2,0,0
p6_4_r4_off,0,4,2000,6.859800,6.040258,100,1999.30,1.9100,0.0000,0.0000,98,2,0,0
p6_5_r4_off,0,4,2000,6.965100,5.584881,100,2000.00,1.9400,0.0000,0.0000,100,0,0,0
p6_6_r4_off,0,4,2000,7.240900,6.735397,100,1998.60,2.8400,0.0000,0.0000,97,3,0,0
p6_7_r4_off,0,4,2000,7.815500,6.682403,100,1999.60,2.3900,0.0000,0.0000,98,2,0,0
p6_8_r4_off,0,4,2000,7.086200,6.281216,100,2000.00,3.7300,0.0000,0.0000,100,0,0,0
p6_9_r4_off,0,4,2000,7.480000,5.931135,100,1999.30,4.0900,0.0000,0.0000,98,2,0,0
p6_10_r4_off,0,4,2000,7.485000,5.730605,100,1999.80,3.1800,0.0000,0.0000,99,1,0,0
p6_11_r4_off,0,4,2000,7.475400,5.841833,100,1997.80,4.1100,0.0000,0.0000,97,3,0,0
p6_12_r4_off,0,4,2000,7.746200,6.614006,100,1999.70,3.4600,0.0000,0.0000,99,1,0,0
p6_13_r4_off,0,4,2000,7.571600,6.395646,100,1999.90,4.3900,0.0000,0.0000,99,1,0,0
p6_14_r4_off,0,4,2000,7.000400,5.515972,100,1999.60,4.5400,0.0000,0.0000,96,4,0,0
p6_15_r4_off,0,4,2000,7.456600,5.423737,100,1999.80,4.1700,0.0000,0.0000,99,1,0,0
p6_16_r4_off,0,4,2000,7.091600,5.644250,100,2000.00,4.1100,0.0000,0.0000,100,0,0,0
p6_17_r4_off,0,4,2000,6.730200,5.681574,100,1999.80,5.8200,0.0000,0.0000,97,3,0,0
p6_18_r4_off,0,4,2000,7.001200,5.510408,100,1999.30,4.5700,0.0000,0.0000,97,3,0,0
p6_19_r4_off,0,4,2000,6.215500,5.444209,100,1998.90,5.6600,0.0000,0.0000,99,1,0,0
p6_20_r4_off,0,4,2000,5.909500,6.124768,100,1999.90,5.2500,0.0000,0.0000,99,1,0,0
p6_21_r4_off,0,4,2000,5.835100,5.414595,100,1999.90,5.5900,0.0000,0.0000,97,3,0,0
p6_22_r4_off,0,4,2000,5.349500,4.966502,100,2000.00,5.9700,0.0000,0.0000,99,1,0,0
p6_23_r4_off,0,4,2000,5.118500,5.586446,100,2000.00,5.3300,0.0000,0.0000,99,1,0,0
p6_24_r4_off,0,4,2000,5.224300,5.408149,100,2000.00,4.7700,0.0000,0.0000,100,0,0,0
p7_0_r4_off,0,4,2000,5.664300,4.492744,100,2000.00,1.9500,0.0000,0.0000,100,0,0,0
p7_1_r4_off,0,4,2000,6.304700,4.548792,100,2000.00,1.4300,0.0000,0.0000,100,0,0,0
p7_2_r4_off,0,4,2000,6.164600,4.990517,100,2000.00,1.2400,0.0000,0.0000,100,0,0,0
p7_3_r4_off,0,4,2000,6.164800,4.581617,100,2000.00,1.6900,0.0000,0.0000,100,0,0,0
p7_4_r4_off,0,4,2000,6.435800,5.445243,100,2000.00,2.6400,0.0000,0.0000,100,0,0,0
p7_5_r4_off,0,4,2000,6.386400,4.860532,100,1998.90,2.5300,0.0000,0.0000,98,2,0,0
p7_6_r4_off,0,4,2000,6.319800,5.139046,100,2000.00,2.5600,0.0000,0.0000,100,0,0,0
p7_7_r4_off,0,4,2000,6.510200,5.344173,100,1999.80,3.6600,0.0000,0.0000,99,1,0,0
p7_8_r4_off,0,4,2000,7.060200,6.135971,100,1999.80,4.6400,0.0000,0.0000,99,1,0,0
p7_9_r4_off,0,4,2000,6.312000,4.625793,100,2000.00,3.2200,0.0000,0.0000,99,1,0,0
p7_10_r4_off,0,4,2000,7.041300,5.133628,100,1999.90,3.8700,0.0000,0.0000,98,2,0,0
p7_11_r4_off,0,4,2000,7.151000,6.015419,100,1999.50,3.6200,0.0000,0.0000,97,3,0,0
p7_12_r4_off,0,4,2000,7.090400,5.543209,100,1999.20,4.9300,0.0000,0.0000,98,2,0,0
p7_13_r4_off,0,4,2000,6.516300,4.863191,100,1999.80,5.4600,0.0000,0.0000,98,2,0,0
p7_14_r4_off,0,4,2000,7.060100,5.818053,100,2000.00,4.5400,0.0000,0.0000,99,1,0,0
p7_15_r4_off,0,4,2000,6.806200,5.665357,100,1998.30,4.2700,0.0000,0.0000,97,3,0,0
p7_16_r4_off,0,4,2000,6.365800,6.087738,100,1999.90,5.3100,0.0000,0.0000,99,1,0,0
