condition,epsilon_start,metric,mean,std,sem,count
quadratic,0.7,avg_learned_weight_diff,0.0033196500000000004,0.00040892923898885034,0.00023609540620972156,3
sublinear,0.2,avg_learned_weight_diff,0.00350265,0.00012869563900925346,7.430246182552339e-05,3
sublinear,0.3,avg_learned_weight_diff,0.0036595,4.898262447031584e-05,2.82801314235512e-05,3
sublinear,0.5,avg_learned_weight_diff,0.0036533,0.00014265918302023165,8.236431771910283e-05,3
sublinear,0.7,avg_learned_weight_diff,0.0035733166666666667,9.18519778411619e-05,5.303076413219436e-05,3
linear,0.2,avg_network_weight_mag,0.5934033333333333,0.004944957869722868,0.0028549727572158563,3
linear,0.3,avg_network_weight_mag,0.5968300000000001,0.0038113022708780716,0.0022004563920544865,3
linear,0.5,avg_network_weight_mag,0.5969466666666666,0.0049957340134692335,0.0028842883774762317,3
linear,0.7,avg_network_weight_mag,0.5566399999999999,0.039290695781571544,0.022684493786138026,3
no-epsilon,,avg_network_weight_mag,0.596925,0.005717525688617323,0.0033010149954218115,3
quadratic,0.2,avg_network_weight_mag,0.592245,0.0047210724417234015,0.00272571244509273,3
quadratic,0.3,avg_network_weight_mag,0.59519,0.0018925445833587588,0.0010926611246555476,3
quadratic,0.5,avg_network_weight_mag,0.5923083333333333,0.0022745897065918437,0.0013132349793967529,3
quadratic,0.7,avg_network_weight_mag,0.5500433333333333,0.027997573257933072,0.016164406457123928,3
sublinear,0.2,avg_network_weight_mag,0.593895,0.0010398196959089067,0.0006003401813416821,3
sublinear,0.3,avg_network_weight_mag,0.5940683333333333,0.002798291145205144,0.001615594145955136,3
sublinear,0.5,avg_network_weight_mag,0.5948916666666666,0.001150047100484717,0.0006639800030456,3
sublinear,0.7,avg_network_weight_mag,0.58717,0.0010666302077101954,0.0006158192375472678,3
linear,0.2,peak_population,551.4166666666666,10.57879167643135,6.107668222088613,3
linear,0.3,peak_population,518.8833333333333,10.396674147694233,6.002522617848088,3
linear,0.5,peak_population,435.56666666666666,17.796090394615735,10.274577579854308,3
linear,0.7,peak_population,250.73333333333332,64.90616945509365,37.47359440696578,3
no-epsilon,,peak_population,594.7666666666667,11.465855106939628,6.619814532480839,3
quadratic,0.2,peak_population,536.2333333333333,5.946497568597292,3.4332119719651013,3
quadratic,0.3,peak_population,506.9666666666667,14.986688537943724,8.652568661642889,3
quadratic,0.5,peak_population,427.3666666666666,18.62742154280442,10.754546842046768,3
quadratic,0.7,peak_population,223.08333333333334,36.9324157527413,21.322940176668364,3
sublinear,0.2,peak_population,550.9166666666666,10.807443422629287,6.23968036930667,3
sublinear,0.3,peak_population,530.15,12.571396103854141,7.258098924649601,3
sublinear,0.5,peak_population,469.1666666666667,4.904164896629514,2.8314209232193632,3
sublinear,0.7,peak_population,383.5833333333333,10.131428000698282,5.849382683478465,3
linear,0.2,top20percent_fitness,20.60117166666667,0.3958297162396126,0.22853239322419353,3
linear,0.3,top20percent_fitness,20.77948166666667,0.2467619197391154,0.14246806078712712,3
linear,0.5,top20percent_fitness,20.127225,0.30899746022418734,0.17839976683934522,3
linear,0.7,top20percent_fitness,16.257538333333333,2.9232673721981612,1.6877492042518583,3
no-epsilon,,top20percent_fitness,20.86005333333333,0.13922442317472186,0.08038125819769602,3
quadratic,0.2,top20percent_fitness,20.55964,0.08478046369889707,0.048948023538579515,3
quadratic,0.3,top20percent_fitness,20.242653333333337,0.23566050020810067,0.1360586532325088,3
quadratic,0.5,top20percent_fitness,19.5963,0.26148259325431106,0.1509670456037779,3
quadratic,0.7,top20percent_fitness,14.825441666666668,2.107364667857306,1.2166875582681218,3
sublinear,0.2,top20percent_fitness,20.953640000000004,0.28279677296602934,0.16327279299789452,3
sublinear,0.3,top20percent_fitness,20.907061666666667,0.16229221333241198,0.09369945305484824,3
sublinear,0.5,top20percent_fitness,20.750445,0.13982576005514621,0.08072844020748268,3
sublinear,0.7,top20percent_fitness,20.40267833333333,0.1710873503749883,0.09877732779393932,3
linear,0.2,total_agents,1312.3833333333332,23.85027952316979,13.769965302949897,3
linear,0.3,total_agents,1258.9166666666667,13.603430939778955,7.853944514983863,3
linear,0.5,total_agents,1074.0,21.989599814457662,12.695701372249276,3
linear,0.7,total_agents,542.2666666666667,266.929140097767,154.11161089000112,3
no-epsilon,,total_agents,1396.8333333333333,23.0564705307064,13.311659467466013,3
quadratic,0.2,total_agents,1304.1166666666668,5.285435964358375,3.051547876806837,3
