id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p20_21_r2_on,1,2,2000,7.529600,7.480705,100,816.99,0.0800,31.4500,12.0900,0,14,86,0
p20_22_r2_on,1,2,2000,7.424300,7.542240,100,718.90,0.0600,32.0900,10.0400,0,6,94,0
p20_23_r2_on,1,2,2000,7.549700,7.280376,100,706.77,0.0700,33.8000,12.6000,1,5,94,0
p20_24_r2_on,1,2,2000,7.629200,7.624405,100,1059.89,0.1000,26.3000,9.9900,0,11,89,0
p21_0_r2_on,1,2,2000,5.949500,6.290691,100,838.08,0.0100,30.1000,11.1900,4,7,89,0
p21_1_r2_on,1,2,2000,6.059300,6.742964,100,751.15,0.0100,33.1200,12.0500,0,8,92,0
p21_2_r2_on,1,2,2000,6.619400,6.642921,100,1101.45,0.0400,24.9000,9.6500,1,9,90,0
p21_3_r2_on,1,2,2000,6.514700,6.866689,100,829.88,0.0200,30.1800,9.7200,1,10,89,0
p21_4_r2_on,1,2,2000,6.204700,6.502635,100,920.31,0.0000,29.8200,10.5300,0,6,94,0
p21_5_r2_on,1,2,2000,6.559800,6.578751,100,953.14,0.0400,28.2200,11.7300,3,9,88,0
p21_6_r2_on,1,2,2000,6.464300,6.376298,100,828.98,0.0300,31.3100,12.1900,0,7,93,0
p21_7_r2_on,1,2,2000,6.899500,6.652238,100,1069.60,0.0300,25.1400,9.5300,14,8,78,0
p21_8_r2_on,1,2,2000,7.189900,7.143390,100,804.69,0.0800,29.1800,8.8700,0,5,95,0
p21_9_r2_on,1,2,2000,7.149800,7.740052,100,741.56,0.0600,33.0200,12.0700,0,9,91,0
p21_10_r2_on,1,2,2000,7.444600,7.065470,100,801.57,0.0800,30.8400,11.3500,2,7,91,0
p21_11_r2_on,1,2,2000,7.504000,6.986658,100,721.16,0.0800,31.4700,11.2300,0,5,95,0
p21_12_r2_on,1,2,2000,7.594600,6.540665,100,780.54,0.0400,33.2600,12.6200,1,7,92,0
p21_13_r2_on,1,2,2000,6.979600,6.807776,100,905.77,0.0600,30.2500,12.4600,0,7,93,0
p21_14_r2_on,1,2,2000,7.339700,7.043453,100,789.47,0.1200,31.4700,11.2000,1,8,91,0
p21_15_r2_on,1,2,2000,7.749400,7.401351,100,836.12,0.0500,31.5200,11.8600,1,13,86,0
p21_16_r2_on,1,2,2000,7.524600,7.146995,100,698.90,0.0500,34.8600,13.4500,0,14,86,0
p21_17_r2_on,1,2,2000,7.729900,7.677336,100,821.82,0.1000,31.6500,11.7900,0,7,93,0
p21_18_r2_on,1,2,2000,7.659700,7.474928,100,951.75,0.0600,27.6000,10.0300,0,8,92,0
p21_19_r2_on,1,2,2000,7.789200,6.906615,100,946.67,0.1300,28.5700,11.0900,0,7,93,0
p21_20_r2_on,1,2,2000,7.694700,7.435209,100,880.51,0.0900,30.6300,12.2200,1,9,90,0
p21_21_r2_on,1,2,2000,7.859400,7.661826,100,698.48,0.1600,32.7300,12.0700,0,9,91,0
p21_22_r2_on,1,2,2000,7.384600,6.838223,100,870.75,0.0400,29.9700,10.8600,0,9,91,0
p21_23_r2_on,1,2,2000,7.394700,7.375602,100,1040.26,0.1300,25.8900,9.6500,12,6,82,0
p21_24_r2_on,1,2,2000,7.504900,7.424565,100,737.37,0.1200,31.4800,11.1700,0,7,93,0
p22_0_r2_on,1,2,2000,6.569200,7.276122,100,779.07,0.0200,32.2800,12.6700,4,13,83,0
p22_1_r2_on,1,2,2000,5.824400,6.227874,100,1093.23,0.0000,24.9000,9.0700,15,13,72,0
p22_2_r2_on,1,2,2000,7.024400,7.448983,100,809.92,0.0500,32.3300,12.7200,0,7,93,0
